ABE	235728
ABI	42476
ABQ	1490942
ABY	15508
ACK	3296
ACT	41005
ACV	45168
ACY	17144
ADK	1082
ADQ	19238
AEX	33601
AGS	102049
AKN	11600
ALB	567395
ALO	2170
AMA	256094
ANC	763241
ANI	903
APF	7286
ASE	26072
ATL	11839964
ATW	46954
AUS	1568839
AVL	110016
AVP	90364
AZO	122025
BDL	1259893
BET	37737
BFF	3
BFI	1
BFL	71073
BGM	50149
BGR	105756
BHM	792470
BIL	178905
BIS	93873
BJI	376
BLI	13265
BMI	44073
BNA	2300155
BOI	467833
BOS	4371675
BPT	16421
BQK	13543
BQN	17228
BRO	29029
BRW	24901
BTM	21112
BTR	288690
BTV	212547
BUF	942002
BUR	1132530
BWI	3350862
BZN	138158
CAE	321257
CAK	155058
CBM	1
CCR	7953
CDC	7577
CDV	29386
CEC	12188
CHA	135940
CHO	36812
CHS	427450
CIC	14217
CID	246218
CKB	14
CLD	27858
CLE	2758084
CLL	39166
CLT	4958641
CMH	1472998
CMI	53219
CMX	1146
COD	13357
COS	520900
CPR	50768
CRP	238503
CRW	115774
CSG	35547
CVG	3735988
CWA	14183
CYS	14
DAB	167898
DAL	1852451
DAY	727153
DBQ	19386
DCA	3505737
DEN	6475024
DET	51647
DFW	11138977
DHN	20433
DLG	9497
DLH	64495
DRO	38107
DSM	429494
DTW	5783380
DUT	10128
EAU	3563
EFD	6956
EGE	46721
EKO	24906
ELM	45629
ELP	1006423
ERI	54916
EUG	141046
EVV	92559
EWN	2748
EWR	5191266
EYW	33045
FAI	193191
FAR	126565
FAT	265696
FAY	84805
FCA	65284
FLG	32234
FLL	1981311
FLO	9732
FMN	8
FNT	109267
FSD	197869
FSM	37413
FWA	150411
GCC	2064
GCN	10871
GEG	513824
GFK	46407
GGG	19056
GJT	67419
GLH	4
GNV	69064
GPT	95389
GRB	167196
GRK	42351
GRR	466588
GSO	743054
GSP	383668
GST	3679
GTF	117843
GTR	14644
GUC	14703
GUM	29480
HDN	36914
HHH	3507
HKY	1286
HLN	51928
HNL	1004458
HOU	2345664
HPN	235407
HRL	224457
HSV	306321
HTS	33066
HVN	13904
IAD	2577440
IAH	5665046
ICT	402926
IDA	69427
ILE	26708
ILG	1497
ILM	111192
IND	1604496
INL	536
IPL	11202
ISO	10832
ISP	306596
ITH	34460
ITO	70708
IYK	11808
JAC	88200
JAN	369298
JAX	1013817
JFK	2578529
JNU	172832
KOA	153542
KSM	867
KTN	100378
LAN	129779
LAR	2
LAS	5174430
LAW	35041
LAX	7943304
LBB	336680
LBF	1
LCH	15587
LEX	251184
LFT	73757
LGA	4369842
LGB	304561
LIH	146522
LIT	641844
LMT	992
LNK	122000
LNY	562
LRD	35330
LSE	55901
LWB	3329
LWS	5490
LYH	17584
MAF	305013
MAZ	224
MBS	143491
MCI	2291627
MCN	13895
MCO	3857406
MDT	321969
MDW	2297149
MEI	12086
MEM	2340215
MFE	134841
MFR	107091
MGM	102478
MHT	470292
MIA	2820116
MIB	176
MKC	3
MKE	862155
MKG	782
MKK	542
MLB	129495
MLI	146183
MLU	98074
MOB	230305
MOD	22816
MOT	53479
MQT	11025
MRY	131244
MSN	286125
MSO	109070
MSP	5357663
MSY	1864114
MTH	252
MTJ	33036
MYR	160701
OAJ	21370
OAK	2277402
OGD	25
OGG	323849
OKC	939510
OMA	793558
OME	40926
ONT	1512482
ORD	12688656
ORF	833801
ORH	25565
OTH	1002
OTZ	39654
OXR	18548
PBI	1038848
PDX	2062888
PFN	50357
PHF	85417
PHL	4178066
PHX	6844153
PIA	83633
PIE	12455
PIH	21731
PIR	18
PIT	4011436
PLN	1498
PMD	6612
PNS	302100
PSC	74809
PSE	5761
PSG	28296
PSP	286468
PUB	12655
PVD	861677
PVU	12
PWM	309429
RAP	103789
RCA	1
RDD	23107
RDM	40008
RDR	92
RDU	2008751
RFD	3104
RHI	822
RIC	689264
RKS	1857
RNO	998304
ROA	131673
ROC	704048
ROP	3658
ROR	4238
ROW	2370
RST	114074
RSW	779804
SAN	3022600
SAT	1582182
SAV	358083
SBA	232826
SBN	125418
SBP	81795
SCC	21910
SCE	12767
SCK	6326
SDF	896351
SEA	3878105
SFO	5278456
SGF	161465
SGU	38276
SHV	249454
SIT	55634
SJC	2162486
SJT	32327
SJU	901440
SKA	1
SLC	3931065
SLE	1759
SMF	1597600
SMX	22768
SNA	1601783
SOP	618
SPI	11134
SPN	17458
SPS	33901
SRQ	324599
STL	5267952
STT	116678
STX	52312
SUN	35144
SUX	33716
SWF	111675
SYR	641999
TEX	1188
TLH	196892
TOL	112284
TPA	2583340
TRI	92457
TTN	3220
TUL	914482
TUP	3763
TUS	808483
TVC	67896
TVL	5740
TWF	24595
TXK	22672
TYR	40399
TYS	386487
UCA	8663
VCT	4728
VIS	3692
VLD	14216
VPS	111814
WRG	28417
WYS	3191
XNA	171561
YAK	28965
YAP	1284
YKM	3339
YUM	44130
