ABE->ALB	AA_46,
ABE->ATL	DL_47586,EA_8193,EV_51355,OH_14783,
ABE->AVP	EA_4352,EV_0,OH_41,US_-1079,
ABE->BDL	AA_1,
ABE->BHM	OO_-3,
ABE->BWI	TW_673,OH_61,PI_1308,US_8725,
ABE->CLE	XE_-12266,
ABE->CLT	YV_800,US_5979,
ABE->CVG	DL_4492,EV_182,OH_-1496,
ABE->DCA	TW_206,
ABE->DTW	9E_14361,NW_32415,
ABE->HPN	UA_450,EV_0,
ABE->IAD	DH_-2514,
ABE->IND	NW_-15,
ABE->JFK	OH_320,
ABE->LGA	TW_893,UA_40,OH_1243,
ABE->MCO	DL_207,US_1721,
ABE->MDT	NW_1625,DL_23347,UA_3163,AA_12,
ABE->ORD	OO_17196,YV_40284,UA_133238,DH_8107,AA_6100,
ABE->PHL	OH_34,US_6263,
ABE->PIT	US_74449,
ABE->RDU	AA_1145,
ABI->DFW	MQ_53180,EV_-9,
ABI->IAH	OO_-1010,XE_-1247,
ABI->LAX	US_2,
ABQ->AMA	XE_33,WN_100625,
ABQ->ATL	DL_51270,
ABQ->AUS	XE_-2066,HP_-3073,
ABQ->BNA	WN_-180,
ABQ->BWI	WN_-13498,
ABQ->CLE	XE_-64,
ABQ->COS	DL_6939,
ABQ->CVG	DL_30764,
ABQ->DAL	WN_211795,
ABQ->DEN	OO_22215,F9_3823,UA_226125,WN_-862,XE_-27,AA_33,US_1822,CO_62011,
ABQ->DFW	OO_1235,PA (1)_303,DL_128171,MQ_2936,AA_213190,
ABQ->ELP	TW_-9,DL_38108,UA_3637,WN_162758,HP_-1641,AA_6748,CO_-1641,
ABQ->EWR	CO_-828,
ABQ->HOU	WN_50221,
ABQ->IAD	UA_2849,
ABQ->IAH	OO_118,XE_32866,CO_66305,
ABQ->LAS	DL_26,WN_262716,HP_17595,US_2131,CO_902,
ABQ->LAX	OO_8579,DL_9714,UA_-4,MQ_-949,WN_189980,AA_0,US_-1159,PS_-703,
ABQ->LBB	DL_813,WN_56752,
ABQ->MAF	XE_24,WN_54769,
ABQ->MCI	EA_2887,WN_61888,US_388,
ABQ->MCO	WN_-16319,
ABQ->MDW	TZ_7,WN_-10424,
ABQ->MSP	NW_26610,
ABQ->OAK	WN_23735,
ABQ->OKC	XE_3053,
ABQ->ONT	XE_-2026,AA_-23,
ABQ->ORD	OO_3290,UA_8762,MQ_1956,AA_116122,
ABQ->PDX	WN_-2874,
ABQ->PHX	TW_10,YV_-803,DL_-3,WN_527511,HP_216945,AA_19,US_-12,
ABQ->PIT	US_22158,
ABQ->SAN	WN_73072,US_520,
ABQ->SAT	WN_684,XE_-2747,
