ABE->ALB	AA_23.0,
ABE->ATL	DL_6.2861295,EA_3.4953072,EV_12.123466,OH_8.447429,
ABE->AVP	EA_5.9291553,EV_0.0,OH_20.5,US_-1.603269,
ABE->BDL	AA_1.0,
ABE->BHM	OO_-3.0,
ABE->BWI	TW_1.17452,OH_61.0,PI_10.809917,US_4.828445,
ABE->CLE	XE_-2.126929,
ABE->CLT	YV_8.080808,US_0.85207355,
ABE->CVG	DL_2.0990653,EV_0.20199779,OH_-0.4147491,
ABE->DCA	TW_0.54497355,
ABE->DTW	9E_7.375963,NW_2.1733155,
ABE->HPN	UA_4.787234,EV_0.0,
ABE->IAD	DH_-1.2408687,
ABE->IND	NW_-15.0,
ABE->JFK	OH_32.0,
ABE->LGA	TW_8.586538,UA_0.47058824,OH_88.78571,
ABE->MCO	DL_0.24154025,US_1.7889813,
ABE->MDT	NW_0.5409454,DL_2.7767603,UA_3.5579302,AA_12.0,
ABE->ORD	OO_6.591031,YV_17.699472,UA_8.223553,DH_10.766269,AA_4.1105123,
ABE->PHL	OH_17.0,US_13.382479,
ABE->PIT	US_3.5671027,
ABE->RDU	AA_13.630953,
ABI->DFW	MQ_2.7168694,EV_-2.25,
ABI->IAH	OO_-0.6955923,XE_-8.659722,
ABI->LAX	US_2.0,
ABQ->AMA	XE_33.0,WN_6.718635,
ABQ->ATL	DL_3.6108177,
ABQ->AUS	XE_-2.459524,HP_-9.455384,
ABQ->BNA	WN_-3.3333333,
ABQ->BWI	WN_-4.351386,
ABQ->CLE	XE_-1.3061224,
ABQ->COS	DL_6.395392,
ABQ->CVG	DL_3.51067,
ABQ->DAL	WN_4.773598,
ABQ->DEN	OO_5.0419884,F9_1.4586036,UA_4.9675965,XE_-0.84375,WN_-0.59407306,AA_33.0,US_8.55399,CO_6.003582,
ABQ->DFW	OO_0.5977735,PA (1)_5.826923,DL_6.691954,MQ_12.132232,AA_4.42202,
ABQ->ELP	TW_-9.0,DL_6.278089,UA_6.588768,WN_6.286034,HP_-1.7702265,AA_12.496296,CO_-2.8890846,
ABQ->EWR	CO_-1.1629213,
ABQ->HOU	WN_4.3670435,
ABQ->IAD	UA_3.4449818,
ABQ->IAH	OO_118.0,XE_6.2985816,CO_2.3320553,
ABQ->LAS	DL_26.0,WN_6.5756264,HP_4.075747,US_5.197561,CO_0.8244973,
