ABE->ALB	AA_46
ABE->ATL	EV_51355
ABE->ATL	DL_47586
ABE->ATL	OH_14783
ABE->ATL	EA_8193
ABE->AVP	EA_4352
ABE->AVP	OH_41
ABE->AVP	EV_0
ABE->AVP	US_-1079
ABE->BDL	AA_1
ABE->BHM	OO_-3
ABE->BWI	US_8725
ABE->BWI	PI_1308
ABE->BWI	TW_673
ABE->BWI	OH_61
ABE->CLE	XE_-12266
ABE->CLT	US_5979
ABE->CLT	YV_800
ABE->CVG	DL_4492
ABE->CVG	EV_182
ABE->CVG	OH_-1496
ABE->DCA	TW_206
ABE->DTW	NW_32415
ABE->DTW	9E_14361
ABE->HPN	UA_450
ABE->HPN	EV_0
ABE->IAD	DH_-2514
ABE->IND	NW_-15
ABE->JFK	OH_320
ABE->LGA	OH_1243
ABE->LGA	TW_893
ABE->LGA	UA_40
ABE->MCO	US_1721
ABE->MCO	DL_207
ABE->MDT	DL_23347
ABE->MDT	UA_3163
ABE->MDT	NW_1625
ABE->MDT	AA_12
ABE->ORD	UA_133238
ABE->ORD	YV_40284
ABE->ORD	OO_17196
ABE->ORD	DH_8107
ABE->ORD	AA_6100
ABE->PHL	US_6263
ABE->PHL	OH_34
ABE->PIT	US_74449
ABE->RDU	AA_1145
ABI->DFW	MQ_53180
ABI->DFW	EV_-9
ABI->IAH	OO_-1010
ABI->IAH	XE_-1247
ABI->LAX	US_2
ABQ->AMA	WN_100625
ABQ->AMA	XE_33
ABQ->ATL	DL_51270
ABQ->AUS	XE_-2066
ABQ->AUS	HP_-3073
ABQ->BNA	WN_-180
ABQ->BWI	WN_-13498
ABQ->CLE	XE_-64
ABQ->COS	DL_6939
ABQ->CVG	DL_30764
ABQ->DAL	WN_211795
ABQ->DEN	UA_226125
ABQ->DEN	CO_62011
ABQ->DEN	OO_22215
ABQ->DEN	F9_3823
ABQ->DEN	US_1822
ABQ->DEN	AA_33
ABQ->DEN	XE_-27
ABQ->DEN	WN_-862
ABQ->DFW	AA_213190
ABQ->DFW	DL_128171
ABQ->DFW	MQ_2936
ABQ->DFW	OO_1235
ABQ->DFW	PA (1)_303
ABQ->ELP	WN_162758
ABQ->ELP	DL_38108
ABQ->ELP	AA_6748
ABQ->ELP	UA_3637
ABQ->ELP	TW_-9
ABQ->ELP	HP_-1641
ABQ->ELP	CO_-1641
ABQ->EWR	CO_-828
ABQ->HOU	WN_50221
ABQ->IAD	UA_2849
