ABE->ALB	AA_23.0
ABE->ATL	EV_12.123466
ABE->ATL	OH_8.447429
ABE->ATL	DL_6.2861295
ABE->ATL	EA_3.4953072
ABE->AVP	OH_20.5
ABE->AVP	EA_5.9291553
ABE->AVP	EV_0.0
ABE->AVP	US_-1.603269
ABE->BDL	AA_1.0
ABE->BHM	OO_-3.0
ABE->BWI	OH_61.0
ABE->BWI	PI_10.809917
ABE->BWI	US_4.828445
ABE->BWI	TW_1.17452
ABE->CLE	XE_-2.126929
ABE->CLT	YV_8.080808
ABE->CLT	US_0.85207355
ABE->CVG	DL_2.0990653
ABE->CVG	EV_0.20199779
ABE->CVG	OH_-0.4147491
ABE->DCA	TW_0.54497355
ABE->DTW	9E_7.375963
ABE->DTW	NW_2.1733155
ABE->HPN	UA_4.787234
ABE->HPN	EV_0.0
ABE->IAD	DH_-1.2408687
ABE->IND	NW_-15.0
ABE->JFK	OH_32.0
ABE->LGA	OH_88.78571
ABE->LGA	TW_8.586538
ABE->LGA	UA_0.47058824
ABE->MCO	US_1.7889813
ABE->MCO	DL_0.24154025
ABE->MDT	AA_12.0
ABE->MDT	UA_3.5579302
ABE->MDT	DL_2.7767603
ABE->MDT	NW_0.5409454
ABE->ORD	YV_17.699472
ABE->ORD	DH_10.766269
ABE->ORD	UA_8.223553
ABE->ORD	OO_6.591031
ABE->ORD	AA_4.1105123
ABE->PHL	OH_17.0
ABE->PHL	US_13.382479
ABE->PIT	US_3.5671027
ABE->RDU	AA_13.630953
ABI->DFW	MQ_2.7168694
ABI->DFW	EV_-2.25
ABI->IAH	OO_-0.6955923
ABI->IAH	XE_-8.659722
ABI->LAX	US_2.0
ABQ->AMA	XE_33.0
ABQ->AMA	WN_6.718635
ABQ->ATL	DL_3.6108177
ABQ->AUS	XE_-2.459524
ABQ->AUS	HP_-9.455384
ABQ->BNA	WN_-3.3333333
ABQ->BWI	WN_-4.351386
ABQ->CLE	XE_-1.3061224
ABQ->COS	DL_6.395392
ABQ->CVG	DL_3.51067
ABQ->DAL	WN_4.773598
ABQ->DEN	AA_33.0
ABQ->DEN	US_8.55399
ABQ->DEN	CO_6.003582
ABQ->DEN	OO_5.0419884
ABQ->DEN	UA_4.9675965
ABQ->DEN	F9_1.4586036
ABQ->DEN	WN_-0.59407306
ABQ->DEN	XE_-0.84375
ABQ->DFW	MQ_12.132232
ABQ->DFW	DL_6.691954
ABQ->DFW	PA (1)_5.826923
ABQ->DFW	AA_4.42202
ABQ->DFW	OO_0.5977735
ABQ->ELP	AA_12.496296
ABQ->ELP	UA_6.588768
ABQ->ELP	WN_6.286034
ABQ->ELP	DL_6.278089
ABQ->ELP	HP_-1.7702265
ABQ->ELP	CO_-2.8890846
ABQ->ELP	TW_-9.0
ABQ->EWR	CO_-1.1629213
ABQ->HOU	WN_4.3670435
ABQ->IAD	UA_3.4449818
ABQ->IAH	OO_118.0
ABQ->IAH	XE_6.2985816
ABQ->IAH	CO_2.3320553
ABQ->LAS	DL_26.0
ABQ->LAS	WN_6.5756264
ABQ->LAS	US_5.197561
ABQ->LAS	HP_4.075747
ABQ->LAS	CO_0.8244973
ABQ->LAX	WN_4.361541
ABQ->LAX	DL_3.3870292
ABQ->LAX	OO_2.8558588
ABQ->LAX	AA_0.0
ABQ->LAX	PS_-2.5845587
ABQ->LAX	US_-3.4597015
ABQ->LAX	MQ_-3.8577235
ABQ->LAX	UA_-4.0
ABQ->LBB	WN_4.320999
ABQ->LBB	DL_3.4892704
ABQ->MAF	XE_24.0
ABQ->MAF	WN_6.8995967
ABQ->MCI	EA_6.729604
ABQ->MCI	WN_4.6037345
ABQ->MCI	US_0.6423841
ABQ->MCO	WN_-2.3623335
ABQ->MDW	TZ_7.0
ABQ->MDW	WN_-2.5795596
ABQ->MSP	NW_2.273776
ABQ->OAK	WN_2.9255517
ABQ->OKC	XE_4.682515
ABQ->ONT	XE_-1.7960993
ABQ->ONT	AA_-11.5
ABQ->ORD	MQ_17.621622
ABQ->ORD	OO_16.206896
ABQ->ORD	UA_10.381516
ABQ->ORD	AA_6.675213
ABQ->PDX	WN_-1.0151889
ABQ->PHX	AA_9.5
ABQ->PHX	WN_5.891213
ABQ->PHX	HP_5.5051003
ABQ->PHX	TW_5.0
ABQ->PHX	US_-0.002345124
ABQ->PHX	DL_-1.5
ABQ->PHX	YV_-2.8076923
ABQ->PIT	US_3.689925
ABQ->SAN	WN_3.9241717
ABQ->SAN	US_1.9923371
ABQ->SAT	WN_5.516129
ABQ->SAT	XE_-3.3216445
ABQ->SEA	WN_-1.3995019
ABQ->SFO	WN_11.069593
ABQ->SFO	OO_10.133717
ABQ->SFO	UA_-1.7857143
ABQ->SLC	EV_16.274725
ABQ->SLC	WN_9.510684
ABQ->SLC	DL_2.7418275
ABQ->SLC	OO_1.6997197
ABQ->SLC	XE_-2.783237
ABQ->SMF	XE_4.2825847
ABQ->SNA	CO_-7.0
ABQ->STL	WN_6.7558537
ABQ->STL	TW_3.3022766
ABQ->STL	AA_-0.020288307
ABQ->TPA	WN_1.8434676
ABQ->TUL	WN_-2.704762
ABQ->TUL	XE_-3.2218845
ABQ->TUS	AA_17.0
ABQ->TUS	DL_12.776275
ABQ->TUS	EA_11.448276
ABQ->TUS	WN_7.192573
ABQ->TUS	US_3.9692888
ABY->ATL	OH_18.872726
ABY->ATL	EV_8.72732
ABY->MCN	EV_0.0
ABY->VLD	EV_0.0
ACK->EWR	XE_30.207726
ACK->EWR	CO_23.789474
ACK->JFK	B6_29.882845
ACK->JFK	OH_29.040817
ACK->LGA	AA_16.65
ACT->DFW	MQ_0.032293376
ACT->IAH	OO_-1.1356784
ACT->ILE	OO_81.0
ACT->SJT	OO_189.0
ACT->TYR	OO_148.0
ACV->CEC	OO_0.61963993
ACV->MFR	OO_115.5
ACV->RDD	OO_176.0
ACV->RDD	UA_39.0
ACV->SFO	UA_31.928572
ACV->SFO	OO_13.212675
ACV->SLC	OO_-0.34391534
ACV->SMF	OO_2.2314072
ACY->ATL	EV_20.938297
ACY->BOS	OH_35.5
ACY->BOS	DH_-14.464567
ACY->BWI	OH_-8.0
ACY->CVG	DH_-1.0031847
ACY->CVG	OH_-2.7765133
ACY->JFK	MQ_98.0
ACY->JFK	OH_72.6
ACY->LGA	OH_55.5
ACY->MCO	OH_5.4755244
ACY->MYR	OH_252.0
ACY->PIT	US_4.3424854
ADK->AKN	AS_23.731707
ADK->ANC	AS_-8.646667
ADQ->ANC	AS_9.250156
ADQ->BET	AS_23.25
AEX->ABI	EV_70.0
AEX->ATL	EV_15.416732
AEX->AUS	EV_40.0
AEX->BTR	EV_-3.0
AEX->DFW	MQ_8.61084
AEX->DFW	EV_0.36991435
AEX->GTR	EV_-1.8933003
AEX->HOU	EV_0.0
